"date","bommie","bommie_SA_cm","NN","NN_SA_cm","SA_difference","distance_cm","BC"
"April_23","43",28024.69585,"31",17859.84328,10164.85257,55,0.494201530781815
"April_23","20",42639.77841,"7",27845.51875,14794.25967,10,0.325926973233502
"April_23","8",33355.5822,"50",37001.86842,3646.286219,3,0.288809263060503
"April_23","42",22655.88718,"45",9035.868837,13620.01834,27,0.423057107465758
"April_23","1",20389.2011,"4",29832.49173,9443.290634,36,0.55419062
"April_23","46",5652.381374,"17",2719.222117,2933.159257,37,0.560129076657399
"April_23","10",29872.67936,"13",15859.9495,14012.72986,2,0.308286963332009
"April_23","5",36372.83101,"11",30258.7427,6114.088308,1,0.300415165348078
"April_23","19.1",75421.73334,"42.1",6375.646748,69046.08659,265,0.779203178871472
"April_23","3.1",146214.9033,"32.1",49036.5658,97178.33746,16,0.435892542278368
"April_23","46.1",22751.10962,"49.1",2125.184179,20625.92545,24,0.806086115052782
"April_23","43.1",93811.49311,"10.1",67963.64596,25847.84715,6,0.295370259382091
"April_23","37.1",55689.68956,"45.1",11612.84936,44076.8402,8,0.503112030219944
"April_23","21.1",64113.98443,"18.1",21987.27928,42126.70515,29,0.657194966644378
"April_23","7.1",7275.786361,"47.1",17471.72006,10195.9337,30,0.441198113854408
"April_23","41.1",3633.837259,"29.1",18179.26355,14545.42629,82,0.674491230909421
"April_23","26.1",12874.27656,"24.1",95998.7005,83124.42394,3,0.495372759132358
"January_23","2.3",30158.12507,"2.1",32441.98045,2283.855382,99,0.4146156
"January_23","2.6",10612.81722,"2.7",20260.60628,9647.789057,32,0.4014291
"January_23","2.8",34572.24448,"2.9",34459.32237,112.9221044,35,0.6678748
"January_23","1.6",35333.57866,"1.7",36389.70416,1056.125504,245,0.4680368
"January_23","1.9",36924.18499,"1.101",22584.536,14339.649,176,0.5608593
"April_23","5.1",6413.211228,"55.1",19332.33471,12919.12348,162,0.47014158334215
"April_23","40.1",8014.453276,"54.1",27140.54082,19126.08754,200,0.614961543943392
"April_23","58.1",68939.00183,"56.1",3613.7081,65325.29373,160,0.785401630316308
"April_23","60.1",96052.7466,"53.1",25778.66204,70274.08456,184,0.399598291523812
