"date","ID2","site","coral","algae","bare_CCA","turf_PAC","sand"
"April 2023",43,"SP2",68,0,32,0,0
"April 2023",31,"SP2",8,68,16,0,8
"April 2023",20,"SP2",60,20,16,0,4
"April 2023",8,"SP2",0,24,76,0,0
"April 2023",50,"SP2",4,56,40,0,0
"April 2023",42,"SP2",12,44,44,0,0
"April 2023",45,"SP2",4,48,32,0,16
"April 2023",7,"SP2",48,0,52,0,0
"April 2023",6,"SP2",0,68,28,0,4
"April 2023",4,"SP2",16,44,40,0,0
"April 2023",1,"SP2",28,28,40,0,4
"April 2023",23,"SP2",8,36,36,0,20
"April 2023",24,"SP2",16,12,52,0,20
"April 2023",25,"SP2",0,0,100,0,0
"April 2023",49,"SP2",20,0,12,0,68
"April 2023",14,"SP2",20,16,40,0,24
"April 2023",38,"SP2",32,20,40,0,8
"April 2023",2,"SP2",0,24,64,0,12
"April 2023",3,"SP2",4,12,68,0,16
"April 2023",16,"SP2",20,0,12,0,68
"April 2023",9,"SP2",28,8,60,0,4
"April 2023",15,"SP2",36,20,36,0,8
"April 2023",11,"SP2",16,0,76,0,8
"April 2023",36,"SP2",8,0,92,0,0
"April 2023",17,"SP2",20,16,16,0,48
"April 2023",46,"SP2",0,16,52,0,32
"April 2023",27,"SP2",100,0,0,0,0
"April 2023",10,"SP2",16,28,56,0,0
"April 2023",29,"SP2",0,52,16,0,32
"April 2023",5,"SP2",36,20,36,0,8
"April 2023",19.1,"INV2",0,0,100,0,0
"April 2023",23.1,"INV2",40,0,32,0,28
"April 2023",15.1,"INV2",12,28,56,0,4
"April 2023",13.1,"INV2",4,0,76,0,20
"April 2023",3.1,"INV2",44,36,20,0,0
"April 2023",32.1,"INV2",16,4,80,0,0
"April 2023",10.1,"INV2",36,16,48,0,0
"April 2023",34.1,"INV2",36,0,20,36,8
"April 2023",46.1,"INV2",64,0,12,20,4
"April 2023",2.1,"INV2",24,8,68,0,0
"April 2023",49.1,"INV2",48,0,0,32,20
"April 2023",44.1,"INV2",36,4,44,4,12
"April 2023",43.1,"INV2",96,4,0,0,0
"April 2023",31.1,"INV2",0,28,40,0,32
"April 2023",37.1,"INV2",32,16,4,48,0
"April 2023",45.1,"INV2",84,4,0,0,12
"April 2023",21.1,"INV2",8,24,68,0,0
"April 2023",18.1,"INV2",100,0,0,0,0
"April 2023",7.1,"INV2",0,0,72,0,28
"April 2023",11.1,"INV2",48,0,52,0,0
"April 2023",47.1,"INV2",4,0,40,8,48
"April 2023",39.1,"INV2",4,28,64,0,4
"April 2023",38.1,"INV2",36,0,4,56,4
"April 2023",26.1,"INV2",0,0,28,48,24
"April 2023",24.1,"INV2",64,0,36,0,0
"April 2023",35.1,"INV2",0,12,40,16,32
"April 2023",28.1,"INV2",4,0,4,16,76
"April 2023",29.1,"INV2",0,8,76,8,8
"April 2023",42.1,"INV2",8,0,16,0,76
"April 2023",22.1,"INV2",20,48,20,12,0
"April 2023",5.1,"INV2",24,8,52,0,16
"April 2023",55.1,"INV2",0,20,68,4,8
"April 2023",40.1,"INV2",8,0,28,16,48
"April 2023",54.1,"INV2",0,0,100,0,0
"April 2023",58.1,"INV2",12,8,60,16,4
"April 2023",56.1,"INV2",16,0,32,0,52
"April 2023",60.1,"INV2",8,64,28,0,0
"April 2023",53.1,"INV2",36,4,52,0,8
