"ID","ID2","site","l","w","h","c","SAcm","SAm","Rl","Rw","Clength","Cwidth","Porites lobata","Porites rus","Porites irregularis","Montipora grisea","Montipora verrucosa","Montipora efflorescens","Montipora setosa","Montipora spp.","Pocillopora grandis","Pocillopora damicornis","Pocillopora spp.","Pavona chiriquiensis","Pavona varians","Pavona cactus","Pavona duerdeni","Astrea curta","Leptastrea pruinosa","Leptoseris mycetoseroides","Leptoseris hawaiiensis","Cyphastrea juv.","Acropora hyacinthus","Acropora retusa","Acropora globiceps","Acropora spp.","Psammocora profundacella","Psammocora stellata","Psammocora spp.","Astreopora randalli","Spirobranchus giganteus","Petalchoncus keenae","Tridacna maxima","Lissoclinum patella","Dictyoceratida spp.","Haliclona spp","Palythoa spp.","Trididemnum spp.","Ircinia spp.","Lissoclinum spp.","Palythoa tuberculosa","Verongiida dGP","Favosipora spp.","Hymedesmia spp.","Dysedia spp.","unknown sponge","Cliona spp."
155,43,"SP2",145,116,70,362,28024.69585,2.802469585,248,244,0.415322581,0.524590164,6,0,0,0,0,2,0,5,1,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,63,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
132,31,"SP2",132,85,52,300,17859.84328,1.785984328,295,158,0.552542373,0.462025316,18,0,1,4,0,1,0,2,1,0,19,3,0,0,0,1,0,0,0,3,2,1,0,2,13,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,6
129,20,"SP2",205,119,86,503,42639.77841,4.263977841,362,334,0.433701657,0.643712575,46,0,0,5,0,4,0,2,0,0,11,8,0,0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,6,238,1,1,0,0,1,0,0,0,0,0,0,0,0,1,4
154,8,"SP2",133,115,96,348,33355.5822,3.33555822,282,270,0.528368794,0.574074074,6,0,0,1,0,2,0,6,0,0,8,6,1,0,0,1,0,0,0,0,0,0,1,3,11,0,0,0,0,44,1,6,0,5,2,0,0,0,0,0,0,0,0,0,5
165,50,"SP2",120,111,120,369,37001.86842,3.700186842,330,270,0.636363636,0.588888889,32,4,0,2,0,0,0,0,0,0,12,4,3,0,0,1,0,3,0,0,0,0,0,4,21,0,0,0,0,42,4,0,0,2,2,0,0,0,0,0,0,0,0,1,18
145,42,"SP2",120,88,77,340,22655.88718,2.265588718,257,207,0.53307393,0.574879227,9,6,0,0,0,1,0,2,2,0,14,1,0,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,0,17,1,0,0,0,0,0,0,0,2,0,0,0,0,0,31
127,45,"SP2",84,56,44,213,9035.868837,0.903586884,156,127,0.461538462,0.559055118,7,0,0,9,0,5,0,3,0,0,12,3,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
151,7,"SP2",124,122,77,340,27845.51875,2.784551875,231,234,0.463203463,0.478632479,28,0,1,2,1,3,0,0,0,1,6,0,3,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,11,41,7,4,0,1,1,0,0,1,0,0,0,0,0,1,5
141,6,"SP2",159,94,96,333,34253.92835,3.425392835,291,219,0.453608247,0.570776256,23,0,0,0,0,0,2,0,0,0,10,14,0,0,0,1,5,0,0,0,0,0,0,2,6,0,0,0,4,29,2,0,2,1,4,0,0,0,0,0,0,0,0,6,5
119,4,"SP2",147,94,87,359,29832.49173,2.983249173,270,280,0.455555556,0.664285714,12,0,2,4,0,12,1,4,0,0,10,3,0,0,0,0,0,0,0,0,2,2,0,6,18,0,1,0,1,33,0,0,2,8,1,0,2,1,0,0,0,0,0,6,10
105,1,"SP2",122,100,60,282,20389.2011,2.03892011,193,185,0.367875648,0.459459459,2,0,0,9,0,0,0,0,0,0,13,6,13,0,33,3,0,0,0,0,0,0,0,3,8,0,0,2,0,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,23,"SP2",145,62,49,368,15872.66601,1.587266601,310,116,0.532258065,0.465517241,11,0,0,7,1,0,0,0,1,0,9,19,0,0,0,2,2,0,0,0,0,0,0,4,6,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
