"centroid","site","percent_available"
"68","Hilton",32.8
"231","Hilton",15.2
"65","Hilton",48.8
"301","Hilton",48
"201","Hilton",26.8
"350","Hilton",41.6
"96","MRB2/east",34.8
"601","MRB2/east",35.6
"100","MRB2/east",25.6
"12.1","MRB2/east",18.8
"22","MRB1/center",25.2
"33","MRB1/center",34.8
"26","MRB1/center",50.8
"21","MRB1/center",25.2
"5001","hilton",22.2
"6001","MRB_west",13.8
"5002","hilton",15
"6002","MRB_west",15.2
"4002","spur",20.6
"4003","spur",18.4
"4004","spur",21.8
"4005","spur",22.2
