"site","date","fragmentation_level","centroid","ID","w","l","h","c","SA_cm","SA_ratio","ratio_c:l","Acropora","Astreopora","Montipora","Leptoseris","Pavona","Danafungia","Herpolitha","Lithophyllon","Astrea","Cyphastrea","Leptastrea","Acanthastrea","Lobophyllia","Pocillopora","Porites","Psammocora","Millepora","Plesiastrea"
"Hilton","23","low","65","65",237,310,118,833,106541.0076,127.9003692,2.687096774,9,0,12,0,13,0,0,1,4,1,0,0,0,9,68,2,0,0
"Hilton","23","low","65","59",99,109,67,298,20336.8355,68.24441444,2.733944954,1,0,3,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0
"Hilton","23","low","65","71",170,193,112,569,59981.18775,105.4150927,2.948186528,9,0,17,0,24,0,0,0,1,0,1,0,0,9,5,4,0,0
"Hilton","23","low","65","48",44,52,41,129,5415.95359,41.98413636,2.480769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"Hilton","23","low","65","66",117,128,47,382,20005.85627,52.37135149,2.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
"Hilton","23","low","65","50",106,122,102,316,31747.25892,100.4660092,2.590163934,6,0,1,0,5,0,0,0,1,0,0,0,0,6,53,2,0,0
"Hilton","23","low","65","113",160,210,93,505,53829.79874,106.5936609,2.404761905,2,0,4,0,3,0,0,2,0,0,0,0,0,3,9,2,0,0
"Hilton","23","low","65","50.1",27,29,25,84,1911.199053,22.75236968,2.896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","50.2",26,27,27,82,1914.931574,23.35282408,3.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","50.3",42,50,43,135,5364.667637,39.73827879,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Hilton","23","low","65","66.1",26,34,26,91,2143.151885,23.55111961,2.676470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","66.2",33,37,28,97,2728.413663,28.1279759,2.621621622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","74",317,424,107,1065,157073.7085,147.4870502,2.511792453,2,0,11,0,10,0,0,0,0,0,0,0,0,3,42,13,0,0
"Hilton","23","low","65","74.1",30,34,30,94,2601.545726,27.67601836,2.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","74.2",26,37,25,94,2199.117133,23.39486312,2.540540541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Hilton","23","low","65","61",87,91,69,253,17198.87372,67.97973804,2.78021978,1,0,0,0,2,0,0,0,0,0,0,0,0,1,30,0,0,0
"Hilton","23","low","65","52",332,493,165,1270,230381.5376,181.4027855,2.576064909,9,0,10,0,13,0,0,2,0,0,0,0,0,12,83,15,0,0
"Hilton","23","low","65","46",237,263,122,685,96570.77285,140.9792304,2.604562738,1,0,6,0,3,0,0,0,1,1,0,0,0,4,102,0,0,0
"Hilton","23","low","65","90",204,269,82,701,70175.18063,100.1072477,2.605947955,1,0,3,0,5,0,0,6,3,2,1,0,0,8,8,2,0,0
"Hilton","23","low","65","90.1",107,115,78,307,24756.19928,80.63908561,2.669565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","128",100,110,61,314,19212.33012,61.18576471,2.854545455,1,0,2,0,5,0,0,0,0,0,0,0,0,1,11,2,0,0
"Hilton","23","low","65","128.1",45,63,49,149,7223.651321,48.48088135,2.365079365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","71.1",35,44,24,100,2807.578806,28.07578806,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","71.2",167,193,72,507,44209.57068,87.19836426,2.626943005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","low","65","134",150,205,111,521,57899.33437,111.13116,2.541463415,0,0,7,0,0,0,0,0,1,1,0,0,0,11,46,6,0,0
"Hilton","23","low","65","160",53,78,34,187,6883.598511,36.81068722,2.397435897,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hilton","23","low","65","131",54,70,41,164,7370.717282,44.94339806,2.342857143,0,0,10,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"Hilton","23","low","65","143",64,97,34,259,9063.946235,34.99593141,2.670103093,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0
"Hilton","23","low","65","143.1",36,27,26,87,2269.618108,26.08756446,3.222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hilton","23","high","68","68",144,380,120,852,98767.3874,115.9241636,2.242105263,2,0,16,0,16,0,0,0,5,2,1,0,0,13,14,26,0,0
"Hilton","23","high","68","60",34,63,34,112,4724.884254,42.18646656,1.777777778,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0
"Hilton","23","high","68","58",35,55,44,124,5360.6051,43.23068629,2.254545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Hilton","23","high","68","58.1",79,85,53,214,12674.20777,59.22526996,2.517647059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Hilton","23","high","68","72.1",46,52,31,133,4453.442029,33.48452653,2.557692308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
