"date","ID2","site","coral","algae","bare_CCA","turf_PAC","sand","Chao1","se.chao1","ID","l","w","h","c","SAcm","SAm","Rl","Rw","Clength","Cwidth","Cavg","Porites lobata","Porites rus","Porites irregularis","Montipora grisea","Montipora verrucosa","Montipora efflorescens","Montipora setosa","Montipora spp.","Pocillopora grandis","Pocillopora damicornis","Pocillopora spp.","Pavona chiriquiensis","Pavona varians","Pavona cactus","Pavona duerdeni","Astrea curta","Leptastrea pruinosa","Leptoseris mycetoseroides","Leptoseris hawaiiensis","Cyphastrea juv.","Acropora hyacinthus","Acropora retusa","Acropora globiceps","Acropora spp.","Psammocora profundacella","Psammocora stellata","Psammocora spp.","Astreopora randalli","Spirobranchus giganteus","Petalchoncus keenae","Tridacna maxima","Lissoclinum patella","Dictyoceratida spp.","Haliclona spp","Palythoa spp.","Trididemnum spp.","Ircinia spp.","Lissoclinum spp.","Palythoa tuberculosa","Verongiida dGP","Favosipora spp.","Hymedesmia spp.","Dysedia spp.","unknown sponge","Cliona spp."
"April 2023",43,"SP2",68,0,32,0,0,12.1666666666667,0.540756074162478,155,145,116,70,362,28024.69585,2.802469585,248,244,0.415322581,0.524590164,1.71034482758621,6,0,0,0,0,2,0,5,1,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,63,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"April 2023",31,"SP2",8,68,16,0,8,21.75,4.1951808096746,132,132,85,52,300,17859.84328,1.785984328,295,158,0.552542373,0.462025316,2.23484848484848,18,0,1,4,0,1,0,2,1,0,19,3,0,0,0,1,0,0,0,3,2,1,0,2,13,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,6
"April 2023",20,"SP2",60,20,16,0,4,21,5.99106477538485,129,205,119,86,503,42639.77841,4.263977841,362,334,0.433701657,0.643712575,1.76585365853659,46,0,0,5,0,4,0,2,0,0,11,8,0,0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,6,238,1,1,0,0,1,0,0,0,0,0,0,0,0,1,4
"April 2023",8,"SP2",0,24,76,0,0,20.3333333333333,4.10688750697414,154,133,115,96,348,33355.5822,3.33555822,282,270,0.528368794,0.574074074,2.1203007518797,6,0,0,1,0,2,0,6,0,0,8,6,1,0,0,1,0,0,0,0,0,0,1,3,11,0,0,0,0,44,1,6,0,5,2,0,0,0,0,0,0,0,0,0,5
"April 2023",50,"SP2",4,56,40,0,0,16.25,0.73277495495915,165,120,111,120,369,37001.86842,3.700186842,330,270,0.636363636,0.588888889,2.75,32,4,0,2,0,0,0,0,0,0,12,4,3,0,0,1,0,3,0,0,0,0,0,4,21,0,0,0,0,42,4,0,0,2,2,0,0,0,0,0,0,0,0,1,18
"April 2023",42,"SP2",12,44,44,0,0,14.6,1.18132036646254,145,120,88,77,340,22655.88718,2.265588718,257,207,0.53307393,0.574879227,2.14166666666667,9,6,0,0,0,1,0,2,2,0,14,1,0,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,0,17,1,0,0,0,0,0,0,0,2,0,0,0,0,0,31
"April 2023",45,"SP2",4,48,32,0,16,12.5,1.28160056179763,127,84,56,44,213,9035.868837,0.903586884,156,127,0.461538462,0.559055118,1.85714285714286,7,0,0,9,0,5,0,3,0,0,12,3,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",7,"SP2",48,0,52,0,0,30,8.0279784192535,151,124,122,77,340,27845.51875,2.784551875,231,234,0.463203463,0.478632479,1.86290322580645,28,0,1,2,1,3,0,0,0,1,6,0,3,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,11,41,7,4,0,1,1,0,0,1,0,0,0,0,0,1,5
"April 2023",6,"SP2",0,68,28,0,4,16.2,0.618744248009179,141,159,94,96,333,34253.92835,3.425392835,291,219,0.453608247,0.570776256,1.83018867924528,23,0,0,0,0,0,2,0,0,0,10,14,0,0,0,1,5,0,0,0,0,0,0,2,6,0,0,0,4,29,2,0,2,1,4,0,0,0,0,0,0,0,0,6,5
"April 2023",4,"SP2",16,44,40,0,0,23.6666666666667,2.20104344455692,119,147,94,87,359,29832.49173,2.983249173,270,280,0.455555556,0.664285714,1.83673469387755,12,0,2,4,0,12,1,4,0,0,10,3,0,0,0,0,0,0,0,0,2,2,0,6,18,0,1,0,1,33,0,0,2,8,1,0,2,1,0,0,0,0,0,6,10
"April 2023",1,"SP2",28,28,40,0,4,13,0.120096115353815,105,122,100,60,282,20389.2011,2.03892011,193,185,0.367875648,0.459459459,1.58196721311475,2,0,0,9,0,0,0,0,0,0,13,6,13,0,33,3,0,0,0,0,0,0,0,3,8,0,0,2,0,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"April 2023",23,"SP2",8,36,36,0,20,13,1.80336816877108,104,145,62,49,368,15872.66601,1.587266601,310,116,0.532258065,0.465517241,2.13793103448276,11,0,0,7,1,0,0,0,1,0,9,19,0,0,0,2,2,0,0,0,0,0,0,4,6,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"April 2023",24,"SP2",16,12,52,0,20,20,10.170422803404,109,81,51,49,185,9153.726965,0.915372696,152,111,0.467105263,0.540540541,1.87654320987654,8,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
