"date","ID","site","coral","algae","bare_CCA","turf_PAC","sand","other","Chao1","se.chao1","l","w","h","c","SAcm","SAm","Rl","Rw","Clength","Cwidth","Orbicella annularis","Orbicella faveolata","Madracis decacdis","Porites porites","Porites astreoides","Agaricia humilis","Agaricia agaricites","Helioseris cucullata","Millepora alcicornis","Siderastrea siderea","Siderastrea radians","Stephanocoenia intersepta","Favia fragum","Scolymia cubensis","Scolymia lacera","Diploria labyrinthiformis","Manicina  areolata","Meandrina meandrites","Colpophyllia natans","Eusmilia fastigiata","Montastraea cavernosa","Gorgonia ventalina","Erythropodium caribaeorum","Plexaura spp.","Plexaurella spp.","Pseudoplexaura spp.","Muricea spp.","Muriceopsis flavida","Antillogorgia rigida","Antillogorgia americana","Briareum asbestinum","Pterogorgia anceps","Mycale laevis","Monanchora arbuscula","Diplastrella megastellata","Phorbas amaranthus","Aiolochroia crassa","Cinachyrella spp.","Smenospongia aurea","Amphimedon compressa","Desmapsamma anchorata","Halisarca spp.","Haliclona mucifibrosa","Ectyoplasia ferox","Scopalina ruetzleri","Chondrilla caribensis","Xestospongia muta","Ricordea florida","Lebrunia neglecta","Bartholomea annulata","Condylactis gigantea","Ctenoides scaber","Phallusia nigra","Rhopalaea abdominalis","unknown demospongia","Parazoanthus spp","Symplegma viride","Eudistoma obscuratum","Eudistoma spp.","Polycarpa tumida","Polycarpa spongiabilis","Pomatostegus stellatus","Notaulax occidentalis","Sabellastarte magnifica","Megalomma spp","Eupolymnia crassicornis","Spirobranchus giganteus","hydroid","Agaricia_spp","unknown_sponges","unknown_ascidians","Niphates spp.","Callyspongia spp.","Anamobaea spp."
"July 23, 2023","WT1","West Tektite",0,0,0,88,0,12,21.5,3.15076587219605,143,105,71,375,26479.13133,2.647913133,0,0,0,0,0,0,3,2,7,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,3,7,0,0,0,0,0,4,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,2,0
"July 28, 2023","WT10","West Tektite",0,36,20,28,4,12,13,5.95657361498783,86,77,26,270,8026.06885,0.802606885,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
"August 4, 2023","WT11","West Tektite",0,76,8,8,0,8,24.625,4.80787112474341,97,52,63,226,13025.69451,1.302569451,0,0,0,0,0,0,0,2,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1
"August 4, 2023","WT12","West Tektite",0,48,20,20,8,4,20,6.6283010643754,111,47,34,250,8638.991102,0.86389911,0,0,0,0,0,0,0,2,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,1,0,1
"August 4, 2023","WT13","West Tektite",8,52,0,36,0,4,44.8571428571429,6.33129705491022,209,184,70,750,49377.7579,4.93777579,0,0,0,0,1,0,62,15,17,0,0,0,17,14,0,0,2,0,1,1,0,2,0,4,3,7,3,0,0,0,0,0,0,1,1,0,10,15,0,0,5,1,0,6,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,1,5,1,0,6,0,2,1,6,16,0,7,2,3
"August 4, 2023","WT14","West Tektite",28,32,0,16,0,24,48,21.3697605664328,165,61,51,365,18154.28354,1.815428354,0,0,0,0,0,0,0,9,16,0,0,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,12,4,1
"August 8, 2023","WT15","West Tektite",4,24,0,48,4,20,29.2,6.42782073894837,120,80,67,297,19367.03081,1.936703081,0,0,0,0,9,0,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,1,0,4,0,1,2,0,0,1,2,0,5,0,0
"August 8, 2023","WT16","West Tektite",20,64,0,8,4,4,43.5,19.2442520153989,200,63,62,268,25235.80986,2.523580986,0,0,0,0,3,0,0,6,6,0,0,0,8,2,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,3,0,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,4,1,0
"August 8, 2023","WT17","West Tektite",4,44,0,32,12,8,17.25,1.7292171395637,162,55,48,325,16423.25482,1.642325482,0,0,0,0,3,0,0,2,2,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0
"August 8, 2023","WT18","West Tektite",40,8,0,36,16,0,14,2.57529471267714,68,42,62,182,9084.361176,0.908436118,0,0,0,0,4,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0
